,count,wins,winsPerRace,meanOdds,oddsTotal
Scarlet Knight,3972,319,0.08031218529707956,28.063444108761328,111468
Love You,3528,490,0.1388888888888889,21.211451247165535,74834
Zola Boko,3167,288,0.09093779602147142,23.538364382696557,74546
Orlando Vici,3017,327,0.10838581372224064,23.833278090818695,71905
Viesker,2898,355,0.12249827467218771,27.70186335403727,80280
Maharajah,2801,438,0.15637272402713318,16.836129953588003,47158
Liising,2673,262,0.09801720912832024,25.1208380097269,67148
Dream Vacation,2671,260,0.09734181954324223,27.150879820292026,72520
Andover Andover,2600,159,0.061153846153846156,35.370384615384616,91963
From Above,2478,255,0.10290556900726393,25.225181598062953,62508
Super Photo Kosmos,2439,166,0.06806068060680606,32.99507995079951,80475
Make it Happen,2158,189,0.08758109360519,29.92817423540315,64585
S.J.'s Caviar,2097,330,0.15736766809728184,19.059132093466857,39967
Quite Easy U.S.,2090,188,0.08995215311004785,26.673684210526314,55748
Muscle Hill,1971,379,0.19228817858954844,14.010147133434804,27614
Järvsöfaks,1901,194,0.1020515518148343,28.03682272488164,53298
Ready Cash,1839,352,0.1914083741163676,14.137030995106036,25998
Classic Photo* (US),1777,160,0.09003939223410241,30.889701744513225,54891
Quite Easy* (US),1771,198,0.11180124223602485,23.678147939017503,41934
Pastor Stephen,1733,188,0.10848240046162723,27.683208309290247,47975
Juliano Star,1730,125,0.07225433526011561,31.216184971098265,54004
Moe Odin,1681,150,0.08923259964306961,30.05116002379536,50516
Citation Lindy* (US),1601,169,0.10555902560899438,25.74953154278576,41225
Raja Mirchi,1552,240,0.15463917525773196,18.75708762886598,29111
Infinitif,1536,166,0.10807291666666667,23.764322916666668,36502
Järvsöviking,1522,116,0.07621550591327202,31.23850197109067,47545
Love You* (FR),1516,202,0.13324538258575197,23.826517150395777,36121
Going Kronos,1486,187,0.12584118438761777,20.954239569313593,31138
Gift Kronos,1485,119,0.08013468013468013,30.231649831649833,44894
Andover Hall* (US),1433,195,0.1360781577110956,22.527564549895324,32282
Pine Chip,1330,106,0.07969924812030076,29.583458646616542,39346
Turbo Sund,1297,91,0.07016191210485737,32.89899768696993,42670
Yankee Glide,1272,140,0.11006289308176101,24.566037735849058,31248
Rite On Line,1246,59,0.04735152487961477,37.463081861958266,46679
Cantab Hall,1231,148,0.12022745735174654,22.50528025995126,27704
Symphonic Hanover,1222,121,0.09901800327332243,28.131751227495908,34377
Enjoy Lavec,1200,89,0.07416666666666667,32.41833333333334,38902
Mr Pine Chip,1199,56,0.04670558798999166,39.20183486238532,47003
Erikasson,1194,88,0.07370184254606366,29.081239530988274,34723
Order By Fax,1183,68,0.057480980557903634,40.30177514792899,47677
Bork Odin,1168,175,0.14982876712328766,20.163527397260275,23551
Up Front Larry,1165,82,0.0703862660944206,38.03776824034335,44314
Andover Hall,1161,164,0.14125753660637383,22.377260981912144,25980
Like A Prayer* (US),1139,103,0.09043020193151888,27.06935908691835,30832
Prodigious,1134,142,0.12522045855379188,24.92063492063492,28260
Joke Face,1126,116,0.10301953818827708,17.80284191829485,20046
Judge Joe,1125,98,0.08711111111111111,28.92711111111111,32543
Ken Warkentin,1120,132,0.11785714285714285,25.423214285714284,28474
Joihuri,1101,95,0.08628519527702089,29.283378746594007,32241
Sipori,1083,117,0.10803324099722991,25.385964912280702,27493
Amour Ami* (US),1073,103,0.09599254426840634,28.52283317800559,30605
Holiday Credit* (US),1050,93,0.08857142857142856,27.663809523809523,29047
Turo,1048,85,0.08110687022900763,32.463740458015266,34022
Triton Sund,1017,89,0.08751229105211406,33.36873156342183,33936
Text Me,1004,67,0.06673306772908366,34.66235059760956,34801
Pilgrims Taj* (US),1003,120,0.11964107676969092,23.284147557328016,23354
Super Arnie,986,42,0.04259634888438134,39.92089249492901,39362
Adrian Chip,981,94,0.09582059123343527,24.82059123343527,24349
A.T. Eko,980,58,0.05918367346938776,34.022448979591836,33342
Apassi,977,82,0.08393039918116683,33.493346980552715,32723
Donato Hanover,952,153,0.16071428571428573,20.18487394957983,19216
Chocolatier,951,144,0.15141955835962145,19.368033648790746,18419
Tag The Devil* (US),951,62,0.06519453207150368,34.472134595162984,32783
Dream Vacation* (US),925,85,0.0918918918918919,27.944864864864865,25849
S.J.'s Photo* (US),918,108,0.11764705882352941,26.49782135076253,24325
Varenne,911,125,0.13721185510428102,18.478594950603732,16834
Valtraus,910,107,0.11758241758241758,28.476923076923075,25914
Revenue,908,79,0.08700440528634361,28.088105726872246,25504
Classic Response* (US),893,77,0.08622620380739082,35.93840985442329,32093
Conway Hall,892,79,0.08856502242152467,26.943946188340806,24034
Jaded,864,94,0.1087962962962963,24.988425925925927,21590
E L Mikko* (CA),858,71,0.08275058275058275,27.98018648018648,24007
Cameron,849,68,0.0800942285041225,26.421672555948174,22432
Kiss Francais,824,64,0.07766990291262135,31.33859223300971,25823
Marion Mad Money,820,45,0.054878048780487805,38.71463414634146,31746
Express It* (US),814,65,0.07985257985257985,34.64496314496314,28201
Mythical Lindy,784,74,0.09438775510204081,27.036989795918366,21197
Weingartner,764,75,0.09816753926701571,29.022251308900522,22173
Zerberus,763,28,0.03669724770642202,42.528178243774576,32449
Classic Photo,761,79,0.1038107752956636,25.505913272010513,19410
Diesel Don* (US),750,53,0.07066666666666667,34.45066666666666,25838
So Perfect,745,81,0.1087248322147651,30.032214765100672,22374
Orlando Vici* (FR),741,77,0.1039136302294197,26.128205128205128,19361
Credit Winner,736,82,0.11141304347826086,23.88179347826087,17577
Fast Photo,709,34,0.047954866008462625,39.936530324400564,28315
Olimede,708,38,0.05367231638418079,36.779661016949156,26040
Jocose,702,56,0.07977207977207977,26.33190883190883,18485
Explosive Matter,697,89,0.12769010043041606,21.020086083213773,14651
Nu Pagadi,696,78,0.11206896551724138,23.396551724137932,16284
Tuisku-Topi,687,73,0.10625909752547306,25.71324599708879,17665
Muscles Yankee,686,72,0.10495626822157435,26.190962099125365,17967
Ture,683,77,0.11273792093704246,22.027818448023424,15045
Uptown Yankee,681,40,0.05873715124816446,35.40381791483113,24110
Intoxicated,681,55,0.08076358296622614,34.98237885462555,23823
Tutuari,681,65,0.09544787077826726,27.854625550660792,18969
S.J.'s Caviar* (US),677,122,0.18020679468242246,19.800590841949777,13405
I.P. Lento,676,57,0.08431952662721894,28.718934911242602,19414
Mr Pine Chip* (US),675,59,0.0874074074074074,30.475555555555555,20571
Lome Kongen,666,42,0.06306306306306306,33.24024024024024,22138
Zola Boko* (SE),659,93,0.1411229135053111,24.78907435508346,16336
Tekno Odin,657,107,0.1628614916286149,15.520547945205479,10197
Crazed,657,64,0.0974124809741248,23.98021308980213,15755
Flirtin Man,656,27,0.041158536585365856,39.521341463414636,25926
Lome Elden,654,68,0.10397553516819572,33.469418960244646,21889
Lexus Font* (IT),652,86,0.13190184049079753,27.273006134969325,17782
Make It Happen* (US),644,58,0.09006211180124224,31.540372670807454,20312
Revenue* (SE),634,80,0.12618296529968454,26.569400630914828,16845
S.J.'s Photo,621,61,0.09822866344605476,26.022544283413847,16160
Le Monteil* (FR),617,94,0.15235008103727715,25.60291734197731,15797
Lavec Kronos,609,62,0.10180623973727422,20.09688013136289,12239
Offshore Dream,578,42,0.0726643598615917,34.465397923875436,19921
Conway Hall* (US),578,67,0.11591695501730104,26.62629757785467,15390
Spikeld,570,42,0.07368421052631578,35.30350877192983,20123
Ever To Excel* (US),566,43,0.07597173144876325,30.7773851590106,17420
Quevert,550,37,0.06727272727272728,31.578181818181818,17368
Conny Nobell,545,51,0.09357798165137615,29.027522935779817,15820
Celebrity Secret,534,51,0.09550561797752809,26.47940074906367,14140
Gidde Palema,534,9,0.016853932584269662,52.71722846441948,28151
The Bosses Lindy* (US),526,91,0.17300380228136883,20.880228136882128,10983
Archduke Kemp* (SE),524,59,0.11259541984732824,34.06488549618321,17850
Lindy Lane,519,34,0.06551059730250482,32.52023121387283,16878
Brioni,518,51,0.09845559845559845,28.635135135135137,14833
One too Many,513,58,0.11306042884990253,27.816764132553605,14270
Muscle Massive,513,72,0.14035087719298245,19.682261208577,10097
Adams Hall,512,19,0.037109375,42.1484375,21580
Jailhouse Joey* (US),510,31,0.060784313725490195,44.44117647058823,22665
Lars,509,58,0.11394891944990176,27.11591355599214,13802
Anderberg* (US),509,34,0.06679764243614932,34.13752455795678,17376
Muscles Yankee* (US),508,34,0.06692913385826772,28.580708661417322,14519
Tangen Scott,508,29,0.05708661417322835,28.261811023622048,14357
Klack Jo,508,47,0.09251968503937008,29.003937007874015,14734
Racer Bourbon,506,44,0.08695652173913043,32.43478260869565,16412
Gigant Neo,505,29,0.05742574257425743,33.78415841584158,17061
Capetown Hall* (US),505,37,0.07326732673267326,36.97821782178218,18674
Donerail* (US),502,23,0.045816733067729085,38.08565737051793,19119
Skogans Joker,498,46,0.09236947791164658,34.497991967871485,17180
Villihotti,495,55,0.1111111111111111,24.288888888888888,12023
Good As Gold,483,27,0.055900621118012424,40.57556935817805,19598
The Best Madrik,479,43,0.08977035490605428,24.88517745302714,11920
Il Villaggio* (CA),475,64,0.13473684210526315,23.423157894736843,11126
Don't Blink Twice* (US),475,33,0.06947368421052631,33.345263157894735,15839
Choco Chip Hanover* (US),474,35,0.07383966244725738,39.75949367088607,18846
Quaker Jet,468,40,0.08547008547008547,26.931623931623932,12604
Clerk Magistrate,464,28,0.0603448275862069,34.672413793103445,16088
Tap In,459,22,0.04793028322440087,43.82788671023965,20117
K.M. Nopsa,459,22,0.04793028322440087,37.93464052287582,17412
Alm Viktor,451,41,0.09090909090909091,27.738359201773836,12510
Pine Chip* (US),450,28,0.06222222222222222,32.84,14778
Select Yankee,448,33,0.07366071428571429,28.290178571428573,12674
Auraus,448,30,0.06696428571428571,31.723214285714285,14212
